,CARGO POR POTENCIA EN PICO,"423,86 $/kW-mes"
0,CARGO POR POTENCIA FUERA PICO,"243,80 $/kW-mes"
1,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
2,CARGO FIJO,"208,44 $/mes"
3,CARGO POR POTENCIA EN PICO,"134,55 $/kW-mes"
4,CARGO POR POTENCIA FUERA PICO,"6 1,69 $/kW-mes"
5,GOS VARIABLES,
6,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
7,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1433 $/kWh"
8,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1375 $/kWh"
9,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1317 $/kWh"
10,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1611 $/kWh"
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1547 $/kWh"
13,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1483 $/kWh"
14,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
15,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1433 $/kWh"
16,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1375 $/kWh"
17,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1317 $/kWh"
18,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
19,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1611 $/kWh"
20,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1547 $/kWh"
21,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1483 $/kWh"
22,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
23,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1611 $/kWh"
24,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1547 $/kWh"
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1483 $/kWh"
26,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
