,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,7196 $/kWh"
0,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2 ,6187 $/kWh"
1,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2 ,5178 $/kWh"
2,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
3,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"7 ,9314 $/kWh"
4,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"7 ,6128 $/kWh"
5,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"7 ,2921 $/kWh"
6,- SUMINISTROS EN ALTA TENSIÓN,
7,CARGO FIJO,$/mes
8,CARGO POR POTENCIA EN PICO,$/kW-me
9,CARGO POR POTENCIA FUERA PICO,$/kW-me
10,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,$/kWh
11,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,$/kWh
12,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,$/kWh
13,EÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
14,PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
15,CARGO FIJO T4R1,"5 78,67 $/mes"
16,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"4 ,1401 $/kWh"
17,CARGO FIJO T4R2,"7 47,21 $/mes"
18,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"4 ,3946 $/kWh"
19,CARGO FIJO T4R3,"9 22,10 $/mes"
20,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"4 ,5941 $/kWh"
21,CARGO FIJO T4R4,"1 .033,39 $/mes"
22,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"5 ,0095 $/kWh"
23,- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,
24,CARGO FIJO T4NR1,"5 78,67 $/mes"
25,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"4 ,5621 $/kWh"
26,CARGO FIJO T4NR2,"7 47,21 $/mes"
27,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"4 ,8507 $/kWh"
28,CARGO FIJO T4NR3,"9 22,10 $/mes"
29,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"5 ,0836 $/kWh"
30,CARGO FIJO T4NR4,"1 .033,39 $/mes"
31,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"5 ,5588 $/kWh"
32,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
33,5 KVA monofásico,27 kWh/mes
34,10 KVA monofásico,43 kWh/mes
35,15 KVA monofásico,52 kWh/mes
36,16 KVA monofásico,57 kWh/mes
37,10 KVA trifásico,70 kWh/mes
38,15 KVA trifásico,86 kWh/mes
39,16 KVA trifásico,91 kWh/mes
